,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actor_names,actor_characters,director_names,genres_list
0,ts20945,The Three Stooges,SHOW,"The Three Stooges were an American vaudeville and comedy team active from 1922 until 1970, best known for their 190 short subject films by Columbia Pictures that have been regularly airing on television since 1958. Their hallmark was physical farce and slapstick. In films, the stooges were commonly known by their actual first names. There were a total of six stooges over the act's run (with only three active at any given time), but Moe Howard and Larry Fine were the mainstays throughout the ensemble's nearly fifty-year run.",1934,TV-PG,19,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",['US'],26,tt0850645,8.6,1092.0,15.424,7.6,"['Joe Besser', 'Moe Howard', 'Larry Fine']","['Joe', 'Moe', 'Larry']",[],"[""['comedy'"", ""'family'"", ""'animation'"", ""'action'"", ""'fantasy'"", ""'horror']""]"
1,tm19248,The General,MOVIE,"During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",1926,Unknown,78,"['action', 'drama', 'war', 'western', 'comedy', 'european']",['US'],0,tt0017925,8.2,89766.0,8.647,8.0,"['Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley', 'Frederick Vroom', 'Charles Henry Smith', 'Joe Keaton', 'Al St. John', 'Frank Barnes', 'Mike Donlin', 'Tom Nawn', 'Jimmy Bryant', 'Budd Fine', 'Ray Hanford', 'Charles Phillips', 'Eddie Foster', 'Frank Hagney', 'Jack Hanlon', 'Edward Hearn', 'Hilliard Karr', 'Louis Lewyn', 'Elgin Lessley']","['Johnny Gray', 'Annabelle Lee', 'Captain Anderson', 'General Thatcher', 'A Southern General', ""Annabelle's Father"", 'Union General', 'Officer on Horseback (uncredited)', ""Annabelle's Brother"", 'Union General', 'Union General', 'Raider (uncredited)', 'Raider (uncredited)', 'Raider (uncredited)', 'Raider (uncredited)', 'Union Railroad Fireman (uncredited)', 'Confederate Recruiter (uncredited)', 'Bit Part (uncredited)', 'Union Officer (uncredited)', 'Soldier (uncredited)', 'Soldier (uncredited)', 'Union General Who Gives Command to Cross Bridge (uncredited)']","['Clyde Bruckman', 'Buster Keaton']","[""['action'"", ""'drama'"", ""'war'"", ""'western'"", ""'comedy'"", ""'european']""]"
2,tm82253,The Best Years of Our Lives,MOVIE,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946,Unknown,171,"['romance', 'war', 'drama']",['US'],0,tt0036868,8.1,63026.0,8.435,7.8,"['Myrna Loy', 'Fredric March', 'Dana Andrews', 'Teresa Wright', 'Virginia Mayo', ""Cathy O'Donnell"", 'Hoagy Carmichael', 'Harold Russell', 'Gladys George', 'Roman Bohnen', 'Ray Collins', 'Minna Gombell', 'Walter Baldwin', 'Steve Cochran', 'Dorothy Adams', 'Don Beddoe', 'Marlene Aames', 'Charles Halton', 'Ray Teal', 'Howland Chamberlain', 'Dean White', 'Erskine Sanford', 'Michael Hall', 'Victor Cutler', 'Claire Du Brey', 'Pat Flaherty', 'Jackie Jackson', ""William H. O'Brien"", 'Bert Stevens', 'Marion Gray']","['Milly Stephenson', 'Al Stephenson', 'Fred Derry', 'Peggy Stephenson', 'Marie Derry', 'Wilma Cameron', 'Butch Engle', 'Homer Parrish', 'Hortense Derry', 'Pat Derry', 'Mr. Milton', 'Mrs. Parrish', 'Mr. Parrish', 'Cliff Scully', 'Mrs. Cameron', 'Mr. Cameron', 'Luella Parrish', 'Prew', 'Mr. Mollett', 'Thorpe', 'Novak', 'Bullard', 'Rob Stephenson', 'Woody Merrill', 'Mrs. Talburt - Perfume Customer (uncredited)', 'Salvage Foreman (uncredited)', 'A Boy (uncredited)', 'Nightclub Waiter (uncredited)', 'Man at Airport/Dinner Guest (uncredited)', nan]",['William Wyler'],"[""['romance'"", ""'war'"", ""'drama']""]"
3,tm83884,His Girl Friday,MOVIE,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.",1940,Unknown,92,"['comedy', 'drama', 'romance']",['US'],0,tt0032599,7.8,57835.0,11.27,7.4,"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy', 'Gene Lockhart', 'Helen Mack', 'Porter Hall', 'Ernest Truex', 'Cliff Edwards', 'Clarence Kolb', 'Roscoe Karns', 'Frank Jenks', 'Regis Toomey', 'Abner Biberman', 'Frank Orth', 'John Qualen', 'Alma Kruger', 'Billy Gilbert', 'Pat West', 'Edwin Maxwell', 'Irving Bacon', 'Wade Boteler', 'Harry C. Bradley', 'Wheaton Chambers', 'Edmund Cobb', 'Ann Doran', 'Ralph Dunn', 'Earl Dwire', 'Pat Flaherty', 'Jack Gardner', 'Eddie Hart', 'Marion Martin', 'Frank McLure', 'James Millican', 'Gene Morgan', 'Delmar Watson']","['Walter Burns', 'Hildy Johnson', 'Bruce Baldwin', 'Sheriff Hartwell', 'Mollie Malloy', 'Murphy', 'Bensinger', 'Endicott', 'Mayor', 'McCue', 'Wilson', 'Sanders', 'Louie', 'Duffy', 'Earl Williams', 'Mrs. Baldwin', 'Joe Pettibone', 'Warden Cooley', 'Dr. Egelhoffer', 'Gus (uncredited)', 'Mike (uncredited)', 'Insurance Doctor (uncredited)', 'Elevator Passenger (uncredited)', 'Cop (uncredited)', 'Newspaper Office Worker (uncredited)', 'Plainclothesman (uncredited)', 'Pete Davis (uncredited)', 'Frank the Policeman (uncredited)', 'Elevator Passenger (uncredited)', 'Carl the Plainclothesman (uncredited)', 'Evangeline (uncredited)', 'Newsman (uncredited)', 'Tim (uncredited)', 'Gene (uncredited)', 'Skinny (uncredited)']",['Howard Hawks'],"[""['comedy'"", ""'drama'"", ""'romance']""]"
4,tm56584,In a Lonely Place,MOVIE,An aspiring actress begins to suspect that her temperamental boyfriend is a murderer.,1950,Unknown,94,"['thriller', 'drama', 'romance']",['US'],0,tt0042593,7.9,30924.0,8.273,7.6,"['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy', 'Carl Benton Reid', 'Art Smith', 'Jeff Donnell', 'Martha Stewart', 'Robert Warwick', 'Morris Ankrum', 'William Ching', 'Steven Geray', 'Hadda Brooks', 'Ruth Gillette', 'Michael Romanoff', 'Ruth Warren', 'Harold Miller', 'James Arness', 'June Vincent', 'Bess Flowers']","[""Dixon 'Dix' Steele"", 'Laurel Gray', 'Det. Sgt. Brub Nicolai', 'Capt. Lochner', 'Agent Mel Lippman', 'Sylvia Nicolai', 'Mildred Atkinson', 'Charlie Waterman', 'Lloyd Barnes', 'Ted Barton', 'Paul the Headwaiter', 'Nightclub Singer', 'Martha the Masseuse (uncredited)', 'Prince Romanoff (uncredited)', 'Effie the Cleaning Lady (uncredited)', 'Nightclub Patron', 'Young Detective', 'Actress In Convertible', 'Restaurant Patron']",['Nicholas Ray'],"[""['thriller'"", ""'drama'"", ""'romance']""]"
5,tm160494,Stagecoach,MOVIE,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",1939,Unknown,96,"['western', 'drama']",['US'],0,tt0031971,7.8,48149.0,11.786,7.7,"['Claire Trevor', 'John Wayne', 'Andy Devine', 'John Carradine', 'Thomas Mitchell', 'Louise Platt', 'George Bancroft', 'Donald Meek', 'Berton Churchill', 'Tim Holt', 'Tom Tyler', 'Chief John Big Tree', 'Yakima Canutt', 'Francis Ford', 'William Hopper', 'Chris-Pin Martin', 'Paul McVey', 'Jack Pennick', 'Harry Tenbrook', 'Whitehorse', 'Hank Worden', 'Dorothy Appleby', 'Ted Billings', 'Wiggie Blowne', 'Danny Borzage', 'Ed Brady', 'Fritzi Brunette', 'Nora Cecil', 'Steve Clemente', 'Bill Cody', 'Jack Curtis', 'Marga Ann Deighton', 'Patricia Doyle', 'Tex Driscoll', 'Johnny Eckert', 'Franklyn Farnum', 'Brenda Fowler', 'Helen Gibson', 'Robert Homans', 'Si Jenks', 'Cornelius Keefe', 'Florence Lake', 'Al Lee', 'Duke R. Lee', 'Theodore Lorch', 'Jim Mason', 'Louis Mason', 'Merrill McCormick', 'J.P. McGowan', 'Walter McGrail', 'Jack Mohr', 'Kent Odell', 'Artie Ortego', 'Vester Pegg', 'Chris Phillips', 'Joe Rickson', 'Buddy Roosevelt', 'Mickey Simpson', 'Chuck Stubbs', 'Leonard Trainor', 'Mary Kathleen Walker', 'Bryant Washburn', 'Elvira Ríos']","['Dallas', 'The Ringo Kid', 'Buck', 'Hatfield', 'Doc Josiah Boone', 'Lucy Mallory', 'Marshal Curly Wilcox', 'Samuel Peacock', 'Ellsworth H. Gatewood', 'Lt. Blanchard', 'Luke Plummer', 'Indian Scout (uncredited)', 'Cavalry Scout (uncredited)', 'Billy Pickett (uncredited)', 'Sergeant (uncredited)', 'Chris (uncredited)', 'Pony Express Agent (uncredited)', 'Bartender in Tonto (uncredited)', 'Telegraph Operator (uncredited)', 'Indian Chief (uncredited)', 'Cavalryman Extra (uncredited)', 'Girl in Saloon (uncredited)', 'Bit Part (uncredited)', 'Bit Part (uncredited)', '(uncredited)', 'Lordsburg Saloon Owner (uncredited)', 'Bit Part (uncredited)', ""Boone's Landlady (uncredited)"", 'Bit (uncredited)', 'Rancher (uncredited)', 'Bartender (uncredited)', 'Mrs. Pickett (uncredited)', 'Bit Part (uncredited)', 'Bit Part (uncredited)', 'Small Role (uncredited)', 'Deputy Frank (uncredited)', 'Mrs. Gatewood (uncredited)', 'Girl in Saloon (uncredited)', 'Ed the Editor (uncredited)', 'Bartender (uncredited)', 'Capt. Whitney (uncredited)', 'Nancy Whitney (uncredited)', 'Small Role (uncredited)', 'Lordsburg Sheriff (uncredited)', 'Lordsburg Express Agent (uncredited)', 'Tonto Express Agent Jim (uncredited)', 'Tonto Sheriff (uncredited)', 'Ogler (uncredited)', '(uncredited)', 'Capt. Sickel (uncredited)', 'Small Role (uncredited)', 'Billy Pickett Jr. (uncredited)', 'Lordsburg Bar Patron (uncredited)', 'Hank Plummer (uncredited)', 'Small Role (uncredited)', 'Ike Plummer (uncredited)', 'Rancher (uncredited)', '(uncredited)', '(uncredited)', 'Townsman (uncredited)', ""Lucy's Infant (uncredited)"", 'Capt. Simmons (uncredited)', 'Yakima (uncredited)']",['John Ford'],"[""['western'"", ""'drama']""]"
6,tm87233,It's a Wonderful Life,MOVIE,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946,PG,130,"['drama', 'family', 'fantasy', 'romance', 'comedy']",['US'],0,tt0038650,8.6,444243.0,26.495,8.3,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Frank Faylen', 'Ward Bond', 'Gloria Grahame', 'H.B. Warner', 'Frank Albertson', 'Todd Karns', 'Samuel S. Hinds', 'Mary Treen', 'Virginia Patton', 'Charles Williams', 'Sarah Edwards', 'William Edmunds', 'Lillian Randolph', 'Argentina Brunetti', 'Robert J. Anderson', 'Ronnie Ralph', 'Jean Gale', 'Jeanine Ann Roose', 'Danny Mummert', 'Georgie Nokes', 'Sheldon Leonard', 'Frank Hagney', 'Ray Walker', 'Charles Lane', 'Edward Keane', 'Carol Coombs', 'Karolyn Grimes', 'Larry Simms', 'Jimmy Hawkins', 'Jean Acker', 'Ernie Adams', 'Monya Andre', 'Stanley Andrews', 'Sam Ash', 'Jack Bailey', 'Louise Bates', 'Beth Belden', 'Brooks Benedict', 'Joseph E. Bernard', 'Al Bridge', 'Buz Buckley', 'Marian Carr', 'Adriana Caselotti', 'Lane Chandler', 'Michael Chapin', 'Tom Chatterton', 'Jack Cheatham', 'Harry Cheshire', 'Edward Clark', 'Tom Coleman', 'Ellen Corby', 'Bryn Davis', 'Lew Davis', 'Harry Denny', 'Helen Dickson', 'Dick Elliott', 'Tom Fadden', 'Frank Fenton', 'Eddie Fetherston', 'Sam Flint', 'Lee Frederick', 'Dick Gordon', 'Jack Gordon', 'Herschel Graham', 'Joseph Granby', 'Charles Halton', 'Carl Eric Hansen', 'Herbert Heywood', 'Harry Holman', 'Art Howard', 'Bert Howard', 'Arthur Stuart Hull', 'John Indrisano', 'Eddie Kane', 'Carl Kent', 'Milton Kibbee', 'Effie Laird', 'Mike Lally', 'Harold Landon', ""Meade 'Lux' Lewis"", 'Jack Lomas', 'J. Farrell MacDonald', 'Wilbur Mack', 'Charles Meakin', 'Priscilla Montgomery', 'Bert Moorhouse', 'Evelyn Moriarty', 'Philip Morris', 'George Noisom', ""Bob O'Connor"", ""Frank O'Connor"", ""Lynn O'Leary-Jameson"", 'Moroni Olsen', 'Garry Owen', 'Netta Packer', 'Franklin Parker', 'Suzanne Ridgeway', 'Mark Roberts', 'Constantine Romanoff', 'Cy Schindell', 'Almira Sessions', 'Cedric Stevens', 'Brick Sullivan', 'Charles Sullivan', 'Carl Switzer', 'Max Wagner', 'Larry Wheat', 'Charles C. Wilson']","['George Bailey', 'Mary Hatch', 'Mr. Potter', 'Uncle Billy', 'Clarence', 'Mrs. Bailey', 'Ernie', 'Bert', 'Violet', 'Mr. Gower', 'Sam Wainwright', 'Harry Bailey', 'Pa Bailey', 'Cousin Tilly', 'Ruth Dakin', 'Cousin Eustace', 'Mrs. Hatch', 'Mr. Martini', 'Annie', 'Mrs. Martini', 'Little George', 'Little Sam', 'Little Mary', 'Little Violet', 'Little Marty Hatch', 'Little Harry Bailey', 'Nick', ""Potter's Bodyguard"", 'Joe (Luggage Shop)', 'Real Estate Salesman', 'Tom (Bldg. & Loan)', 'The Bailey Child - Janie', 'The Bailey Child - Zuzu', 'The Bailey Child - Pete', 'The Bailey Child - Tommy', 'Townswoman (uncredited)', 'Ed (uncredited)', 'Elderly Woman (uncredited)', 'Mr. Welch (uncredited)', 'Nervous Banker (uncredited)', ""One of Vi's Suitors (uncredited)"", 'Building & Loan Depositor (uncredited)', 'Young Girl (uncredited)', 'Military Officer in Montage (uncredited)', 'Townsman (uncredited)', 'Sheriff (uncredited)', 'Young Boy (uncredited)', 'Jane Wainwright (uncredited)', ""Singer at Martini's (uncredited)"", 'Policeman (uncredited)', ""Young George's Friend (uncredited)"", 'Townsman (uncredited)', 'Cop Arresting Violet (uncredited)', 'Dr. Campbell (uncredited)', 'Building & Loan Board Member (uncredited)', 'Building & Loan Customer (uncredited)', 'Ms. Davis (uncredited)', 'Elderly Woman (uncredited)', 'High School Teacher at Poolside (uncredited)', '(uncredited)', 'Woman at Graduation Dance (uncredited)', 'Man on Porch (uncredited)', 'Tollhouse Keeper (uncredited)', ""Violet's Boyfriend (uncredited)"", 'Horace (uncredited)', ""Relieved Banker in Potter's Office (uncredited)"", '(uncredited)', 'Photographer with Sheriff (uncredited)', 'Bar Patron (uncredited)', 'Townsman (uncredited)', 'Elderly Man (voice) (uncredited)', 'Carter (uncredited)', '(uncredited)', 'Building & Loan Depositor (uncredited)', 'Mr. Partridge (uncredited)', 'Building & Loan Board Member (uncredited)', 'Building & Loan Board Member (uncredited)', 'Mr. Randall (uncredited)', 'Man in Fantasy (uncredited)', 'Building & Loan Depositor (uncredited)', 'Townsman (uncredited)', 'Building & Loan Board Member (uncredited)', 'Townswoman (uncredited)', 'Building & Loan Customer (uncredited)', 'Marty Hatch (uncredited)', ""Pianist in Nick's Place (uncredited)"", 'Bar Patron (uncredited)', 'Man Whose Grandfather Planted Tree (uncredited)', 'Building & Loan Customer (uncredited)', 'Elderly Man (uncredited)', 'Student in Gym (uncredited)', 'Man with Sheriff (uncredited)', 'Bar Patron (uncredited)', 'Building & Loan Customer (uncredited)', 'School Dancer (uncredited)', 'Bar Patron (uncredited)', 'Military Officer in Montage (uncredited)', 'Infant Janie Bailey (uncredited)', 'Senior Angel (voice) (uncredited)', 'Bill-Poster (uncredited)', 'Elderly Woman (uncredited)', 'Photographer / Reporter (uncredited)', ""Nick's Waitress (uncredited)"", 'Mickey (uncredited)', 'Bar Patron (uncredited)', ""Nick's Bouncer (uncredited)"", ""Potter's Secretary (uncredited)"", 'Townsman (uncredited)', 'Man in Fantasy (uncredited)', ""Nick's Bartender (uncredited)"", 'Freddie Othello (uncredited)', ""Cashier / Nick's Assistant Bouncer (uncredited)"", 'Building & Loan Board Member (uncredited)', 'Charlie (uncredited)']",['Frank Capra'],"[""['drama'"", ""'family'"", ""'fantasy'"", ""'romance'"", ""'comedy']""]"
7,tm19424,Detour,MOVIE,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",1945,Unknown,66,"['thriller', 'drama', 'crime']",['US'],0,tt0037638,7.3,17233.0,7.757,7.2,"['Tom Neal', 'Ann Savage', 'Claudia Drake', 'Edmund MacDonald', 'Tim Ryan', 'Esther Howard', 'Pat Gleason']","['Al Roberts', 'Vera', 'Sue Harvey', 'Charles Haskell Jr.', 'Diner Owner', 'Holly', 'Joe']",['Edgar G. Ulmer'],"[""['thriller'"", ""'drama'"", ""'crime']""]"
8,tm116781,My Man Godfrey,MOVIE,"Fifth Avenue socialite Irene Bullock needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park, who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia, who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two.",1936,Unknown,95,"['comedy', 'romance', 'drama']",['US'],0,tt0028010,8.0,23532.0,8.633,7.6,"['William Powell', 'Carole Lombard', 'Alice Brady', 'Gail Patrick', 'Eugene Pallette', 'Jean Dixon', 'Alan Mowbray', 'Mischa Auer', 'Pat Flaherty', 'Robert Light', 'Bess Flowers', 'Bert Moorhouse', 'Franklin Pangborn', 'Grady Sutton', 'Jane Wyman', 'Ernie Adams', 'Jimmy Aye', 'James Carlisle', 'Jack Chefe', 'Phyllis Crane', 'Eddie Fetherston', 'Grace Field', 'James Flavin', 'Edward Gargan', 'Carlton Griffin', 'David S. Horsley', 'Selmer Jackson', 'Richard Kipling', 'Andrea Leeds', 'Ethelreda Leopold', 'Reginald Mason', 'Louis Natheaux', 'Bob Perry', 'Katherine Perry', 'Albert Petit', 'Jean Rogers', 'Ronald R. Rondell', 'Arthur Singley', 'Larry Steers', 'Russell Wade', 'William Wagner', 'Arthur Wanzer', 'Harley Wood']","['Godfrey', 'Irene Bullock', 'Angelica Bullock', 'Cornelia Bullock', 'Alexander Bullock', 'Molly', 'Tommy Gray', 'Carlo', 'Mike Flaherty', 'Faithful George', 'Mrs. Merriweather (uncredited)', 'Card Playing Party Guest (uncredited)', 'Guthrie (uncredited)', 'Charlie Van Rumple (uncredited)', 'Socialite (uncredited)', 'Forgotten Man (uncredited)', nan, nan, nan, nan, nan, nan, 'Detective #2 (uncredited)', nan, nan, nan, nan, nan, 'Socialite at Scavenger Hunt (uncredited)', 'Socialite (uncredited)', nan, nan, nan, nan, nan, 'Socialite (uncredited)', nan, nan, 'Nightclub Patron (uncredited)', nan, nan, nan, nan]",['Gregory La Cava'],"[""['comedy'"", ""'romance'"", ""'drama']""]"
9,tm112005,Marihuana,MOVIE,"A young girl named Burma attends a beach party with her boyfriend and after she smokes marijuana with a bunch of other girls, she gets pregnant and another girl drowns while skinny dipping in the ocean. Burma and her boyfriend go to work for the pusher in order to make money so they can get married. However, during a drug deal her boyfriend is killed leaving Burma to fend for herself. Burma then becomes a major narcotics pusher in her own right after giving up her baby for adoption.",1936,Unknown,57,"['crime', 'drama']",['US'],0,tt0026683,4.0,864.0,3.748,3.6,"['Harley Wood', 'Hugh McArthur', 'Paul Ellis', 'Bill Woods', 'Juanita Fletcher', 'Gloria Browne', 'Symona Boniface', 'Hal Taggart', 'William C. Thompson']","[""Burma Roberts aka 'Blondie'"", 'Dick Collier', 'Tony Santello', 'Detective', 'Mrs. Roberts', 'Gloria Stewart - The Child', 'Helen', ""Helen's Husband"", 'Waterfront-Raid Detective (uncredited)']",['Dwain Esper'],"[""['crime'"", ""'drama']""]"
